,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,title,zip_code,addr_state
25,15000,14975, 60 months,14.47,352.69,C,C2,Financial Relationship Associate,< 1 year,RENT,30000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,756xx,TX
26,13000,13000, 36 months,23.4,505.95,E,E1,Sale Representative,2 years,RENT,90000.0,Verified,Dec-18,Current,other,Other,191xx,PA
27,23000,23000, 60 months,20.89,620.81,E,E1,Operator,5 years,RENT,68107.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,672xx,KS
28,8000,8000, 36 months,23.4,311.35,E,E1,Manager,10+ years,OWN,43000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,357xx,AL
29,32075,32075, 60 months,11.8,710.26,B,B4,Nursing Supervisor,10+ years,OWN,150000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,231xx,VA
30,12000,12000, 60 months,13.56,276.49,C,C1,Nursing Supervisor,< 1 year,MORTGAGE,40000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,180xx,PA
31,10000,10000, 60 months,19.92,264.5,D,D3,Material Handler,10+ years,MORTGAGE,80000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,648xx,MO
32,16000,16000, 60 months,17.97,406.04,D,D1,Instructional Coordinator,5 years,MORTGAGE,51000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,284xx,NC
33,3300,3300, 36 months,23.4,128.44,E,E1,Program Manager,3 years,MORTGAGE,49700.0,Source Verified,Dec-18,Current,vacation,Vacation,310xx,GA
34,20000,20000, 60 months,11.8,442.88,B,B4,Program Manager,3 years,MORTGAGE,47590.0,Verified,Dec-18,Current,credit_card,Credit card refinancing,156xx,PA
35,3500,3500, 36 months,20.89,131.67,B,B4,Budget & Procurement Specialist,10+ years,RENT,33190.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,850xx,AZ
36,12000,12000, 36 months,26.31,485.48,E,E4,Budget & Procurement Specialist,5 years,OWN,19000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,628xx,IL
37,10000,10000, 36 months,20.89,376.19,D,D4,Foreman shop ,7 years,RENT,74000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,114xx,NY
38,6000,5975, 36 months,6.46,183.79,A,A1,Substance Abuse Counselor,1 year,MORTGAGE,40000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,750xx,TX
39,25000,25000, 60 months,27.27,767.43,E,E5,Business Intelligence Engineer,5 years,MORTGAGE,171000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,980xx,WA
40,20000,20000, 36 months,12.98,673.69,B,B5,FC,5 years,RENT,74800.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,618xx,IL
41,2200,2200, 36 months,15.02,76.29,C,C3,FC,5 years,RENT,70000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,871xx,NM
42,25000,25000, 60 months,17.97,634.43,C,C3,Information technology ,7 years,RENT,53000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,368xx,AL
43,4000,4000, 36 months,11.8,132.48,C,C3,Information technology ,7 years,RENT,20000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,151xx,PA
44,1250,1250, 36 months,23.4,48.65,E,E1,BANKER,10+ years,RENT,52000.0,Source Verified,Dec-18,Current,other,Other,477xx,IN
45,10400,10400, 36 months,12.98,350.32,B,B5,Program Support Assistant ,10+ years,MORTGAGE,56099.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,800xx,CO
46,7500,7475, 36 months,11.8,248.4,B,B5,Program Support Assistant ,10+ years,MORTGAGE,32700.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,716xx,AR
47,7000,6975, 36 months,10.72,228.25,B,B5,Business Analyst,< 1 year,MORTGAGE,97000.0,Source Verified,Dec-18,Current,other,Other,201xx,VA
48,25000,25000, 36 months,12.98,842.11,B,B5,Business Analyst,< 1 year,OWN,30000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,028xx,RI
49,8000,8000, 36 months,11.8,264.96,B,B4,Program Manager,7 years,MORTGAGE,85000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,366xx,AL
50,9000,9000, 36 months,10.33,291.81,B,B1,Millwright,4 years,MORTGAGE,75000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,549xx,WI
51,9600,9600, 36 months,15.02,332.89,C,C3,Fuel truck driver,10+ years,OWN,60000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,087xx,NJ
52,8000,8000, 36 months,10.72,260.86,B,B2,Publications and Images Project Manager,10+ years,MORTGAGE,82923.0,Source Verified,Dec-18,Current,car,Car financing,802xx,CO
53,12000,12000, 36 months,16.14,422.72,C,C4,Trainer,6 years,RENT,24000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,857xx,AZ
54,20000,20000, 36 months,13.56,679.29,C,C1,Armed Security officer,9 years,MORTGAGE,40000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,064xx,CT
55,40000,40000, 60 months,14.47,940.51,C,C2,Armed Security officer,< 1 year,MORTGAGE,500000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,302xx,GA
56,14400,14400, 60 months,14.47,338.59,C,C2,Director,3 years,RENT,110000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,920xx,CA
57,22400,22400, 36 months,8.81,710.34,A,A5,Manager,2 years,MORTGAGE,30000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,062xx,CT
58,25000,25000, 36 months,10.33,810.56,B,B1,Agent,2 years,OWN,78000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,371xx,TN
59,26000,26000, 60 months,18.94,673.6,D,D2,Mortgage loan processor,10+ years,MORTGAGE,40000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,486xx,MI
60,25000,25000, 60 months,15.02,595.02,C,C3,CFO ,10+ years,MORTGAGE,63500.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,287xx,NC
61,1000,1000, 36 months,30.75,42.87,F,F5,CFO ,10+ years,MORTGAGE,50000.0,Verified,Dec-18,Current,other,Other,604xx,IL
62,2000,2000, 36 months,8.19,62.85,A,A4,Laborer,4 years,MORTGAGE,86407.40846679515,Verified,Dec-18,Current,credit_card,Credit card refinancing,154xx,PA
63,9000,8975, 36 months,6.46,275.68,A,A1,Driver,10+ years,MORTGAGE,35000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,068xx,CT
64,20000,20000, 36 months,13.56,679.29,C,C1,Lead Transportation Security Officer,10+ years,MORTGAGE,98500.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,946xx,CA
65,29450,29450, 36 months,8.19,925.44,A,A4,General Manager,10+ years,MORTGAGE,161000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,933xx,CA
66,34625,34625, 60 months,16.14,844.6,C,C4,Vice President,10+ years,MORTGAGE,137500.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,779xx,TX
67,31450,31450, 36 months,7.56,979.16,A,A3,Construction Manager,7 years,MORTGAGE,130000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,895xx,NV
68,15500,15500, 36 months,10.72,505.4,B,B2,Administrative Assistant ,10+ years,RENT,52000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,925xx,CA
69,12000,12000, 36 months,11.8,397.43,B,B2,Transportation Manager,10+ years,RENT,79365.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,104xx,NY
70,36000,36000, 60 months,17.97,913.58,B,B2,Pharmacist,9 years,RENT,160000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,021xx,MA
71,30000,30000, 36 months,16.14,1056.79,C,C4,Structural Engineer,7 years,MORTGAGE,116000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,774xx,TX
72,3000,3000, 36 months,17.97,108.42,D,D1,IT Assistant,10+ years,RENT,50000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,104xx,NY
73,35000,35000, 36 months,12.98,1178.96,B,B5,Anti Money Laundering Compliance Manager,2 years,RENT,112000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,606xx,IL
74,26500,26500, 60 months,11.31,580.28,B,B5,Compliance Director,10+ years,MORTGAGE,134000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,747xx,OK
75,4000,4000, 36 months,23.4,155.68,E,E1,Security,3 years,RENT,90000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,070xx,NJ
76,12000,12000, 60 months,22.35,333.82,E,E1,Header operator ,< 1 year,OWN,65000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,611xx,IL
77,3000,3000, 36 months,15.02,104.03,C,C3,Banker ,4 years,MORTGAGE,60000.0,Source Verified,Dec-18,Current,home_improvement,Home improvement,104xx,NY
78,8000,8000, 36 months,14.47,275.26,C,C2,Warehouse Associates,4 years,RENT,42300.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,405xx,KY
79,10250,10250, 36 months,10.72,334.22,B,B2,Teacher,10+ years,MORTGAGE,96000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,919xx,CA
80,22400,22400, 60 months,16.14,546.4,C,C4,Paramedic/ Fire Fighter,10+ years,OWN,56000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,234xx,VA
81,27000,27000, 60 months,15.02,642.62,C,C3,Supervisor ,10+ years,MORTGAGE,45000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,656xx,MO
82,24000,24000, 36 months,19.92,890.95,D,D3,overnight supervisor,7 years,RENT,30000.0,Verified,Dec-18,Current,credit_card,Credit card refinancing,752xx,TX
83,6500,6500, 36 months,10.72,211.95,B,B2,Dealer ,< 1 year,RENT,50000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,902xx,CA
84,25000,25000, 36 months,16.91,890.2,C,C5,OFFICE MANAGER,10+ years,RENT,95000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,906xx,CA
85,8000,8000, 36 months,10.72,260.86,B,B2,Goldsmith,2 years,RENT,95000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,612xx,IL
86,21000,21000, 60 months,15.02,499.81,C,C3,Lpn,5 years,RENT,86407.40846679515,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,444xx,OH
87,10000,10000, 36 months,14.47,344.07,C,C2,Teacher ,10+ years,RENT,47000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,283xx,NC
88,7500,7500, 36 months,16.14,264.2,C,C4,lab tech,10+ years,OWN,50000.0,Source Verified,Dec-18,Current,home_improvement,Home improvement,280xx,NC
89,30000,30000, 36 months,16.91,1068.24,C,C5,customer service,10+ years,RENT,86407.40846679515,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,088xx,NJ
90,3775,3775, 36 months,13.56,128.22,C,C1,customer service,10+ years,OWN,5000.0,Source Verified,Dec-18,Current,home_improvement,Home improvement,425xx,KY
91,5600,5600, 36 months,11.31,184.17,B,B3,customer service,10+ years,RENT,20166.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,066xx,CT
92,6000,6000, 36 months,16.14,211.36,C,C4,Facility Maintenance Tech,3 years,RENT,40000.0,Source Verified,Dec-18,Current,other,Other,217xx,MD
93,16000,16000, 36 months,15.02,554.81,C,C3,Plumber,4 years,RENT,50000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,368xx,AL
94,15000,15000, 36 months,16.14,528.4,C,C4,asst.mgr,3 years,RENT,60000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,301xx,GA
95,21000,21000, 60 months,15.02,499.81,C,C3,Police Captain,10+ years,RENT,109000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,537xx,WI
96,25000,25000, 60 months,20.89,674.79,C,C3,Veterinary Assistant ,1 year,MORTGAGE,70000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,273xx,NC
97,1000,975, 36 months,8.19,31.43,C,C3,Project manager,10+ years,MORTGAGE,78000.0,Source Verified,Dec-18,Current,other,Other,980xx,WA
98,16000,16000, 60 months,20.89,431.87,D,D4,Regional Manager,10+ years,RENT,200000.0,Verified,Dec-18,Current,credit_card,Credit card refinancing,282xx,NC
99,8500,8500, 36 months,16.91,302.67,C,C5,DIRECT CARE PROVIDER,7 years,MORTGAGE,70200.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,226xx,VA
100,30000,30000, 36 months,22.35,1151.16,D,D5,Supervisor ,5 years,MORTGAGE,100000.0,Source Verified,Dec-18,Fully Paid,debt_consolidation,Debt consolidation,917xx,CA
101,3000,3000, 36 months,8.81,95.14,A,A5,Supervisor ,5 years,RENT,71250.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,984xx,WA
102,16000,16000, 36 months,23.4,622.7,E,E1,account manager,10+ years,MORTGAGE,140000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,913xx,CA
103,8000,8000, 36 months,12.98,269.48,E,E1,Controller,4 years,MORTGAGE,95000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,480xx,MI
104,30000,30000, 60 months,17.97,761.32,D,D1,senior buyer,10+ years,MORTGAGE,65000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,917xx,CA
105,6000,6000, 36 months,14.47,206.44,C,C2,Manager,10+ years,RENT,55000.0,Verified,Dec-18,Current,credit_card,Credit card refinancing,104xx,NY
106,5000,5000, 36 months,12.98,168.43,B,B5,Consultant,2 years,RENT,80000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,100xx,NY
107,10000,10000, 36 months,16.14,352.27,C,C4,Consultant,< 1 year,RENT,90000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,934xx,CA
108,20000,20000, 60 months,16.14,487.86,C,C4,Sales,10+ years,MORTGAGE,30000.0,Not Verified,Dec-18,Current,other,Other,629xx,IL
109,22650,22650, 36 months,10.72,738.54,C,C4,President,7 years,MORTGAGE,86407.40846679515,Not Verified,Dec-18,Current,home_improvement,Home improvement,346xx,FL
110,10000,10000, 36 months,11.31,328.86,C,C4,Nurse technician,2 years,OWN,35000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,989xx,WA
111,24000,24000, 36 months,10.33,778.14,B,B1,Maintenance Manager,10+ years,MORTGAGE,100000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,606xx,IL
112,4000,4000, 36 months,18.94,146.51,D,D2,Math Instructor,< 1 year,MORTGAGE,37000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,646xx,MO
113,30000,30000, 36 months,15.02,1040.26,C,C3,Firefighter ,10+ years,RENT,90000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,681xx,NE
114,11000,11000, 36 months,16.14,387.49,C,C4,Senior Area Sales Manager,3 years,MORTGAGE,240000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,482xx,MI
115,24000,24000, 60 months,13.56,552.98,C,C1,Director of reinsurance ,10+ years,MORTGAGE,125000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,600xx,IL
116,18000,18000, 60 months,10.72,388.86,B,B2,Office Manager,10+ years,MORTGAGE,32000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,928xx,CA
117,18000,18000, 36 months,8.81,570.81,B,B2,Sever,< 1 year,RENT,40000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,100xx,NY
118,5525,5525, 36 months,15.02,191.59,B,B2,Vice President,10+ years,RENT,118000.0,Not Verified,Dec-18,Current,car,Car financing,322xx,FL
119,2525,2525, 36 months,16.91,89.92,C,C5,Tech Driver,1 year,RENT,86407.40846679515,Verified,Dec-18,Current,credit_card,Credit card refinancing,325xx,FL
120,32000,32000, 60 months,14.47,752.41,C,C2,Teacher,10+ years,MORTGAGE,110000.0,Source Verified,Dec-18,Current,home_improvement,Home improvement,152xx,PA
121,16000,16000, 36 months,25.34,639.04,E,E3,Operations Manager,2 years,RENT,52000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,220xx,VA
122,16000,16000, 36 months,14.47,550.51,C,C2,Operations Manager,< 1 year,RENT,200000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,152xx,PA
123,18500,18500, 60 months,12.98,420.75,B,B5,Supply Chain Analyst,5 years,RENT,96500.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,554xx,MN
124,3000,2975, 36 months,10.72,97.82,B,B2,Supply Chain Analyst,5 years,MORTGAGE,30000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,778xx,TX
125,23000,23000, 60 months,19.92,608.34,D,D3,Supply Chain Analyst,5 years,OWN,75000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,109xx,NY
126,1500,1500, 36 months,17.97,54.21,D,D1,Product Line Specilalist ,10+ years,MORTGAGE,56160.0,Verified,Dec-18,Current,other,Other,212xx,MD
127,24000,24000, 60 months,12.98,545.83,D,D1,Medical Doctor,10+ years,MORTGAGE,380000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,704xx,LA
128,5000,5000, 36 months,16.14,176.14,C,C4,Enrollment Services Advisor,3 years,RENT,50000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,921xx,CA
129,25000,25000, 36 months,10.33,810.56,B,B1,Army,10+ years,MORTGAGE,80000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,292xx,SC
130,2500,2500, 36 months,20.89,94.05,D,D4,Room Attendant,3 years,RENT,29000.0,Source Verified,Dec-18,Current,other,Other,115xx,NY
131,12000,12000, 60 months,14.47,282.16,C,C2,MAINTENANCE ,10+ years,RENT,62000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,030xx,NH
132,9600,9600, 36 months,23.4,373.62,E,E1,Sales VP,3 years,RENT,100000.0,Not Verified,Dec-18,Current,small_business,Business,432xx,OH
133,10000,10000, 36 months,11.31,328.86,B,B3,Sales VP,3 years,MORTGAGE,10020.0,Verified,Dec-18,Current,other,Other,925xx,CA
134,7000,7000, 36 months,15.02,242.73,C,C3,General Manager ,7 years,MORTGAGE,52000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,028xx,RI
135,8000,8000, 36 months,23.4,311.35,E,E1,Medical Coder,1 year,RENT,49400.0,Verified,Dec-18,Current,other,Other,917xx,CA
136,5000,5000, 36 months,16.14,176.14,C,C4,Plant Logistics Manager,< 1 year,MORTGAGE,115000.0,Not Verified,Dec-18,Current,other,Other,685xx,NE
137,10000,10000, 36 months,10.33,324.23,B,B1,Plant Logistics Manager,< 1 year,MORTGAGE,280000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,974xx,OR
138,8000,8000, 36 months,10.33,259.38,B,B1,Optician,6 years,MORTGAGE,38000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,159xx,PA
139,4000,4000, 36 months,18.94,146.51,D,D2,Optician,6 years,MORTGAGE,19000.0,Not Verified,Dec-18,Current,major_purchase,Major purchase,936xx,CA
140,24000,24000, 60 months,11.31,525.54,D,D2,Bill Collector,1 year,MORTGAGE,72000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,606xx,IL
141,25000,25000, 60 months,16.14,609.82,C,C4,Production Manager,5 years,MORTGAGE,45000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,703xx,LA
142,3000,3000, 36 months,17.97,108.42,D,D1,Cna,7 years,MORTGAGE,33000.0,Source Verified,Dec-18,Current,other,Other,750xx,TX
143,35000,35000, 60 months,18.94,906.77,D,D2,Financial Advisor,10+ years,RENT,90000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,432xx,OH
144,8800,8800, 36 months,16.91,313.35,C,C5,Financial Advisor,< 1 year,MORTGAGE,21000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,778xx,TX
145,10500,10500, 60 months,11.8,232.51,B,B4,Financial Advisor,< 1 year,OWN,36000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,857xx,AZ
146,25000,25000, 60 months,14.47,587.82,C,C2,City Crrier,3 years,MORTGAGE,65000.0,Verified,Dec-18,Current,credit_card,Credit card refinancing,054xx,VT
147,5500,5500, 36 months,11.31,180.88,C,C2,Engineer,5 years,MORTGAGE,98000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,775xx,TX
148,12000,12000, 60 months,14.47,282.16,C,C2,Reimbursement specialist ,6 years,MORTGAGE,39000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,130xx,NY
149,8500,8500, 36 months,16.14,299.43,C,C4,Asst. Manager,8 years,MORTGAGE,80000.0,Not Verified,Dec-18,Current,home_improvement,Home improvement,756xx,TX
150,35000,35000, 60 months,20.89,944.71,D,D4,Instructor for Training Squadron,10+ years,RENT,80000.0,Verified,Dec-18,Current,other,Other,796xx,TX
151,8250,8250, 36 months,17.97,298.14,D,D1,Driver ,10+ years,MORTGAGE,68000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,350xx,AL
152,40000,40000, 60 months,16.14,975.71,C,C4,Assistant to the Treasurer (Payroll),< 1 year,MORTGAGE,45000.0,Verified,Dec-18,Fully Paid,credit_card,Credit card refinancing,456xx,OH
153,20000,20000, 36 months,10.33,648.45,B,B1,UPS/Shipping,10+ years,MORTGAGE,60000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,458xx,OH
154,18000,18000, 36 months,8.81,570.81,A,A5,Attorney-Adviser,3 years,RENT,100203.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,200xx,DC
155,11000,11000, 36 months,14.47,378.47,C,C2,Teacher,10+ years,RENT,89000.0,Not Verified,Dec-18,Current,debt_consolidation,Debt consolidation,087xx,NJ
156,12000,12000, 36 months,16.14,422.72,C,C4,Sales Account Manager,4 years,RENT,70000.0,Source Verified,Dec-18,Current,credit_card,Credit card refinancing,333xx,FL
157,15000,15000, 60 months,13.56,345.62,C,C1,Sales Account Manager,< 1 year,RENT,72000.0,Not Verified,Dec-18,Current,credit_card,Credit card refinancing,300xx,GA
158,4000,4000, 36 months,16.91,142.44,C,C5,Vacation Advisor,5 years,RENT,54000.0,Source Verified,Dec-18,Current,home_improvement,Home improvement,347xx,FL
159,32000,32000, 60 months,12.98,727.78,B,B5,Manager,4 years,MORTGAGE,70000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,339xx,FL
160,15000,15000, 60 months,14.47,352.69,C,C2,Operation s director,10+ years,MORTGAGE,120000.0,Source Verified,Dec-18,Current,debt_consolidation,Debt consolidation,295xx,SC
161,18000,18000, 60 months,14.47,423.23,C,C2,Machinst/Programer,7 years,MORTGAGE,60000.0,Verified,Dec-18,Current,debt_consolidation,Debt consolidation,841xx,UT
